Id,Name,Description,Price,PictureUrl,Brand,Type,QuantityInStock
1,Maybelline New York Liquid Foundation Makeup,Matte foundation for oily skin.,799,/images/products/1.png,Maybelline New York,Cosmetics,50
2,Urban Decay Naked Eyeshadow Palette,Highly pigmented eyeshadow palette.,5400,/images/products/2.jpeg,Urban Decay,Cosmetics,30
3,MAC Ruby Woo Matte Lipstick,Classic red matte lipstick.,1800,/images/products/13.jpeg,MAC,Cosmetics,40
4,NARS Orgasm Blush,Cult-favorite peachy pink blush.,2300,/images/products/19.jpeg,NARS,Cosmetics,35
5,Too Faced Better Than Sex Mascara,Volumizing mascara for dramatic lashes.,2600,/images/products/20.jpeg,Too Faced,Cosmetics,60
6,Huda Beauty Desert Dusk Eyeshadow Palette,Warm-toned eyeshadow palette with rich pigments.,6000,/images/products/21.jpeg,Huda Beauty,Cosmetics,25
7,Benefit Hoola Matte Bronzer,Matte bronzer for a natural tan.,2400,/images/products/22.jpeg,Benefit,Cosmetics,55
8,Anastasia Beverly Hills Dipbrow Pomade,Waterproof pomade for defined brows.,2800,/images/products/23.jpeg,Anastasia Beverly Hills,Cosmetics,45
9,Charlotte Tilbury Magic Cream,Hydrating moisturizer for a radiant glow.,3500,/images/products/24.jpeg,Charlotte Tilbury,Cosmetics,40
10,Clinique Even Better Foundation,Foundation that brightens and evens skin tone.,2800,/images/products/25.jpeg,Clinique,Cosmetics,30
11,Tylenol Extra Strength Acetaminophen,Pain reliever and fever reducer.,899,/images/products/3.png,Tylenol,Medicine,100
12,Benadryl Allergy Ultratabs,Antihistamine for allergy relief.,749,/images/products/4.png,Benadryl,Medicine,80
13,Advil Ibuprofen Pain Reliever/Fever Reducer,Fast-acting pain relief tablets.,899,/images/products/14.png,Advil,Medicine,90
14,Claritin Allergy Tablets,Non-drowsy allergy relief.,999,/images/products/26.png,Claritin,Medicine,70
15,Mucinex Extended-Release Tablets,Relieves chest congestion.,1199,/images/products/27.png,Mucinex,Medicine,60
16,Imodium AD Loperamide Tablets,Anti-diarrheal medication.,849,/images/products/28.png,Imodium,Medicine,80
17,Pepto-Bismol Liquid,Relieves upset stomach nausea and diarrhea.,1299,/images/products/29.png,Pepto-Bismol,Medicine,50
18,Excedrin Extra Strength,Pain relief for headaches and migraines.,949,/images/products/30.png,Excedrin,Medicine,75
19,Tums Antacid Tablets,Relieves heartburn and indigestion.,699,/images/products/31.png,Tums,Medicine,90
20,NyQuil Cold & Flu Relief,Nighttime relief for cold and flu symptoms.,1099,/images/products/32.png,NyQuil,Medicine,65
21,Tiffany & Co. Diamond Stud Earrings,Classic diamond earrings in platinum.,100000,/images/products/5.jpeg,Tiffany & Co.,Jewelry,20
22,Cartier Love Bracelet,Iconic love bracelet in 18k gold.,700000,/images/products/6.jpg,Cartier,Jewelry,15
23,David Yurman Classics Bracelet with Gold,Iconic cable bracelet with gold accents.,150000,/images/products/15.jpeg,David Yurman,Jewelry,25
24,Bvlgari Serpenti Watch,Elegant watch with a serpentine design.,120000,/images/products/33.jpg,Bvlgari,Jewelry,10
25,Harry Winston Diamond Necklace,Luxurious diamond necklace in white gold.,500000,/images/products/34.jpg,Harry Winston,Jewelry,5
26,Chopard Happy Diamonds Ring,Ring featuring floating diamonds.,80000,/images/products/35.jpg,Chopard,Jewelry,20
27,Piaget Rose Necklace,Rose-shaped necklace with diamonds.,95000,/images/products/36.jpg,Piaget,Jewelry,15
